ActivityName=
{
--日常活动
  name00001= "蟠桃盛宴",
   desc00210= "对BOSS造成伤害<font color='#ffff00'>排名前$c1$</font>，且，<font color='#ffff00'>伤害值</font>达到<font color='#ffff00'>$c2$点</font>玩家获得<font color='#ffff00'>排名奖励</font>",
   


  
--圣诞活动
  name00301= "充值回馈",
  desc00301= "迎双旦,充值大返利,累积返还最高可达50%元宝。本次推出的元宝大返利,只需要累积的元宝达到下方任意一种就可以获得元宝返利,累积的数额越大,获赠返还的元宝就越多,还在等什么,赶快参加吧！",  
  
  name00302= "登陆有礼",
  desc00302= "活动时间内,31级以上的玩家只要每天登陆游戏即可获得新年每日登陆礼包奖励,游戏更新之后连续登陆3天和7天还可各获得一份连续登陆礼包（每种连续登陆礼包只可领取1次,七日礼包内更有靓丽圣诞礼服时装噢！）",  
  
  name00303= "圣诞淘宝",
  desc00303= "活动期间,点击天元城中心圣诞树来摇一摇进行淘宝,一次消耗一个圣诞袜,也可使用元宝代替,可获得超值珍宝哦！更有超稀有巨萌熊猫装,圣诞专属熊猫宠物等你拿！行动起来,大家一起摇吧！！！\n\n<a href='m天元城:0:0:圣诞树'>圣诞树</a><IOBJ class='TeleportButton' href='f天元城:0:0:圣诞树'/>",  
  
  name00304= "精灵来袭",
  desc00304= "圣诞来临之际,每天11:00,15:30,18:00,22:00一群麋鹿小精灵携带重宝降临北冰原和雷夏泽,捕获它们即可获得丰厚的奖励！每天的16:00雪人BOSS会在神农渊出现,见证雪人BOSS死亡,即可获得大量经验。且击杀BOSS的玩家及其小队,有机会可以获得超稀有的圣诞节熊猫装（BOSS每天只会刷新一只哦）",  
  
  
  name00305= "圣诞副本",
  desc00305= "活动期间,可从天元城圣诞娃娃处进入副本,每天可进入2次喔,副本中掉落各种超值游戏道具,并有几率获得超萌宠物,还等什么？赶快进入冒险吧！\n\n<a href='m天元城:0:0:圣诞娃娃'>圣诞娃娃</a><IOBJ class='TeleportButton' href='f天元城:0:0:圣诞娃娃'/>", 
  
--新年活动
  name00306= "消费返还",
  desc00306= "喜迎蛇年,消费大返还。活动期间累积消费返还最高可达<font color='#FFF000'>150000元宝</font>。本次推出的元宝大返利,只需要再下方任意消费一种元宝套餐,就可获得对应的超值返利,还在等什么,赶快抢购吧！",  
  
  name00307= "登陆有礼",
  desc00307= "活动期间,每天登陆游戏即可获得新年每日登陆礼包奖励。且累计登陆3天、7天、12天还可额外获得一份累积登陆礼包（每种累积登陆礼包限领1次,7、12日累积礼包内更有豪华新春贺喜时装噢！）",
  
  name00308= "每日消费",
  desc00308= "活动期间,凡每日累计消费达到98元宝,就可以领取一份新年每日消费礼包。开启礼包,可获得<font color='#FFF000'>招财神符、中级强化石、精装生命药水、中级法力包、中级宠物长生丹</font>稀有道具,并有一定概率额外获得<font color='#FFF000'>焚离珠</font>一个。欢庆新年,蛇年消费送豪礼,不可错过噢！",  
  
  name00309= "新年许愿",
  desc00309= "活动期间,点击天元城中心新年许愿树,来进行许愿淘宝,一次消耗一个许愿币,也可使用元宝代替。许愿树中,放置着奇珍珍宝哦！更有超稀有巨萌熊猫装,新年专属熊猫装等你拿！大家行动起来,一起来许愿吧！！！\n\n<a href='m天元城:62:48'>新年许愿树</a><IOBJ class='TeleportButton' href='f天元城:0:0:新年许愿树'/>",  
 
  name00310= "年兽来袭",
  desc00310= "新年来临之际,每天<font color='#66FF66'>11:00</font>,<font color='#66FF66'>15:30</font>,<font color='#66FF66'>18:00</font>,<font color='#66FF66'>22:00</font>,一群戏狮灵童携带重宝降临北冰原和雷夏泽,捕获它们即可获得丰厚的奖励！每天的<font color='#66FF66'>16:00</font>,年兽BOSS会在神农渊出现,见证年兽BOSS死亡,即可获得大量经验。且击杀年兽BOSS的玩家及其小队,有机会可以获得超稀有的新年熊猫时装！<font color='#66FF66'>（注：BOSS每天只会刷新一只）</font>",  
     
  name00311= "新年副本",
  desc00311= "活动期间,可通过天元城戏狮灵童处进入副本,每天可进入2次喔.副本中可掉落各类珍品游戏道具,并有几率获得超萌宠物,还等什么？赶快进入冒险吧！\n\n<a href='m天元城:65:58'>戏狮灵童</a><IOBJ class='TeleportButton' href='f天元城:65:58'/>", 

  name00312= "春联集锦",
  desc00312= "活动期间,通过击杀特定新春副本、戏狮灵童及新年世界BOSS怪物,即有概率获得春联道具。春联道具的相关合成规则：“张灯结彩迎新春”+“欢天喜地庆佳节”=新春佳节礼包、“福如东海滔滔至”+“财似春潮滚滚来”=招财进宝礼包、“花开富贵家家乐”+“灯照吉祥岁岁欢”=富贵吉祥礼包。",  

  name00313= "跨年倒计时",
  desc00313= "除夕跨年夜零点时,天元城、不周山、北冰原等地将出现火树银花不夜天的烟火场景。同时免费赠予全服玩家新春贺岁信一封,信中包含了我们对大家的深情祝福及丰富的奖励,让我们携手共度2013跨年之夜吧。",  

  name00314= "新年财神",
  desc00314= "蛇年财神送大礼,每天<font color='#66FF66'>10:00</font>,<font color='#66FF66'>14:00</font>,<font color='#66FF66'>18:00</font>,<font color='#66FF66'>22:00</font>财神携带重宝降临至天元城中的任意区域中。活动期间,寻找到财神的仙友,可免费向财神领取新年红包一份。财神降临天元城一段时间后,将重返仙宫,<font color='#FF66cc'>大家快一起去寻找财神,领取红包吧。注：开启财神红包后,可随机获得奖励预览界面的其中一个珍品道具。</font>",  

  name00315= "神秘商店",
  desc00315= "最大限时抢购,新春颠覆回馈。活动期间,众仙友可进入限时神秘商店购买到超值优惠的新年特价商品。有几率刷出<font color='#FFF000'>高级保护符仅售36元宝、4级宝石仅售88元宝、5级宝石仅售328元宝、功夫熊猫仅售2588元宝。</font>更多特惠商品,等您来参加,想不到的折扣,看得到的实惠,全民疯抢GO！",  

  name00316= "压岁钱",
  desc00316= "钟打五更又一年,儿孙长高开笑颜,分食枣糕与橘荔,更喜遍赐压岁钱。活动期间,每天通过游戏中的<font color='#FFF000'>压岁钱</font>图标,点击即可免费领取压岁钱一份。压岁钱可随机获得<font color='#FFF000'>焚离珠、幽煌珠、精良·精灵龙、精灵·小龙女、切糕、中级强化石、中级保护符、3级宝石、高级经验丹、高级灵气丹</font>等稀有道具的其中一个。",  
 
 
--情人节活动
  name00317= "送花有礼",
  desc00317= "活动期间,向心爱的人赠送鲜花,可获得对应的礼盒奖励：赠送9朵玫瑰,可获得<font color='#35C3F7'>爱情礼包</font>；赠送99朵玫瑰,可获得<font color='#35C3F7'>浓情礼盒</font>；赠送999朵玫瑰,可获得<font color='#35C3F7'>真情礼包</font>。(注：活动期间内,上述礼包每天限领一次)",  
  subName00317= "玫瑰赠佳人",
  timeDesc00317= "2013年2月11日 - 2013年2月17日",


  name00318= "魅力比拼",
  desc00318= "在活动结束后,每周魅力排行榜前5名的玩家,均能获得相应的<font color='#35C3F7'>魅力排名礼包</font>奖励。（温馨提示：每周魅力排行榜在<font color='#35C3F7'>2月17日24：00时</font>结束统计）",  
  subName00318= "幸福大作战",
  
  name00319= "美女相伴",
  desc00319= "活动期间,完成任意品质的护送任务,都会获得<(c0xFF35C3F7)双倍>的任务奖励。",  
  subName00319= "今生共相伴",
  
  name00320= "喜宴促销",
  desc00320= "活动期间,每天可举办豪华婚宴和云车巡游的<font color='#FFF000'>次数翻倍</font>。",  
  subName00320= "情牵214",   
  
  awardsDesc00317= "<(c0xFFFFC000)赠送9朵玫瑰,可获得爱情礼包*1。>",
  awardsDesc00318= "<(c0xFFFFC000)赠送99朵玫瑰,可获得浓情礼盒*1。>",
  awardsDesc00319= "<(c0xFFFFC000)赠送999朵玫瑰,可获得真情礼包*1。>",
   
  awardsDesc00320= "<(c0xFFFFC000)每周魅排行榜第一名>(魅力值达到3000以上时，方可领取)  <(c0xFFFFC000)获得者：> $winner$",
  awardsDesc00321= "<(c0xFFFFC000)每周魅排行榜第二名>			                       <(c0xFFFFC000)获得者：> $winner$",
  awardsDesc00322= "<(c0xFFFFC000)每周魅排行榜第三名>			                       <(c0xFFFFC000)获得者：> $winner$",  
  awardsDesc00323= "<(c0xFFFFC000)每周魅排行榜第四名>			                       <(c0xFFFFC000)获得者：> $winner$", 
  awardsDesc00324= "<(c0xFFFFC000)每周魅排行榜第五名>			                       <(c0xFFFFC000)获得者：> $winner$",    
  
  
 --合服庆典 
  
  
  name00325= "豪华大回馈",
  desc00325= "合服庆典活动时间内,只要上线,每天都可以领取一个<(c0xFF35C3F7)合服礼包>",  
  subName00325= "惊喜大礼",
  timeDesc00325= "合服当天 - 合服第八天24:00",
  awardsDesc00325= "<font color='#FFFF00'><b>活动1:</b></font><font color='#33CC33'>双修打坐</font> 经验加成100%,活动期间全天有效<br><br><font color='#FFFF00'><b>活动2:</b></font><font color='#33CC33'>灵泉仙浴</font> 经验加成100%,持续时间12:30-13:00<br><br><font color='#FFFF00'><b>活动3:</b></font><font color='#33CC33'>蟠桃盛宴</font> 经验加成100%,持续时间19:00-19:20<br><br><font color='#FFFF00'><b>活动4:</b></font><font color='#33CC33'>仙灵封印</font> 经验加成100%,持续时间19:30-20:00<br><br><font color='#FFFF00'><b>活动5:</b></font><font color='#33CC33'>阵营试炼</font> 经验加成100%,持续时间20:10-20:40",
  
  name00326= "消费有惊喜",
  desc00326= "合服庆典活动时间内,消费元宝数量排名前十的玩家可以额外获得丰厚奖励",  
  subName00326= "你消费我送礼",
  timeDesc00326= "合服当天 - 合服第七天24:00",
  awardsDesc00326= "<(c0xFFFFC000)消费排行榜第一名>	  		    <(c0xFFFFC000)获得者：> $winner$",
  awardsDesc10326= "<(c0xFFFFC000)消费排行榜第二名>			    <(c0xFFFFC000)获得者：> $winner$",
  awardsDesc20326= "<(c0xFFFFC000)消费排行榜第三名>			    <(c0xFFFFC000)获得者：> $winner$",  
  awardsDesc30326= "<(c0xFFFFC000)消费排行榜第四名>			    <(c0xFFFFC000)获得者：> $winner$", 
  awardsDesc40326= "<(c0xFFFFC000)消费排行榜第五名>			    <(c0xFFFFC000)获得者：> $winner$",
  awardsDesc50326= "<(c0xFFFFC000)消费排行榜第六名>			    <(c0xFFFFC000)获得者：> $winner$",
  awardsDesc60326= "<(c0xFFFFC000)消费排行榜第七名>			    <(c0xFFFFC000)获得者：> $winner$",
  awardsDesc70326= "<(c0xFFFFC000)消费排行榜第八名>			    <(c0xFFFFC000)获得者：> $winner$",  
  awardsDesc80326= "<(c0xFFFFC000)消费排行榜第九名>			    <(c0xFFFFC000)获得者：> $winner$", 
  awardsDesc90326= "<(c0xFFFFC000)消费排行榜第十名>			    <(c0xFFFFC000)获得者：> $winner$",
  
  name00327= "限时神秘商店",
  desc00327= "合服庆典活动时间内,玩家可以在神秘商店购买超值商品。想不到的折扣,看得到的实惠,全民疯抢GO！活动开启后点击右上角图标进入神秘商店。",  
  subName00327= "惊喜连连",
  timeDesc00327= "合服第八天 - 合服第十四天24:00",

  name00328= "战力悬赏令",
  desc00328= "合服后第七天24:00,战力排行榜上排名前十的玩家可以额外获得丰厚的奖励",  
  subName00328= "实力认证",
  timeDesc00328= "合服当天 - 合服第七天24:00",
  awardsDesc00328= "<(c0xFFFFC000)合服战力排行榜第一名>			<(c0xFFFFC000)获得者：> $winner$",
  awardsDesc10328= "<(c0xFFFFC000)合服战力排行榜第二名>			<(c0xFFFFC000)获得者：> $winner$",
  awardsDesc20328= "<(c0xFFFFC000)合服战力排行榜第三名>			<(c0xFFFFC000)获得者：> $winner$",  
  awardsDesc30328= "<(c0xFFFFC000)合服战力排行榜第四名>			<(c0xFFFFC000)获得者：> $winner$", 
  awardsDesc40328= "<(c0xFFFFC000)合服战力排行榜第五名>			<(c0xFFFFC000)获得者：> $winner$",
  awardsDesc50328= "<(c0xFFFFC000)合服战力排行榜第六名>			<(c0xFFFFC000)获得者：> $winner$",
  awardsDesc60328= "<(c0xFFFFC000)合服战力排行榜第七名>			<(c0xFFFFC000)获得者：> $winner$",
  awardsDesc70328= "<(c0xFFFFC000)合服战力排行榜第八名>			<(c0xFFFFC000)获得者：> $winner$",  
  awardsDesc80328= "<(c0xFFFFC000)合服战力排行榜第九名>			<(c0xFFFFC000)获得者：> $winner$", 
  awardsDesc90328= "<(c0xFFFFC000)合服战力排行榜第十名>			<(c0xFFFFC000)获得者：> $winner$",

  name00329= "宠物征集令",
  desc00329= "合服后第十四天24:00,只要拥有宠物排行榜上排名前十的宠物即可额外获得丰厚的奖励",  
  subName00329= "神兽相助",
  timeDesc00329= "合服当天 - 合服第十四天24:00",
  awardsDesc00329= "<(c0xFFFFC000)合服宠物排行榜第一名>			<(c0xFFFFC000)获得者：> $winner$",
  awardsDesc10329= "<(c0xFFFFC000)合服宠物排行榜第二名>			<(c0xFFFFC000)获得者：> $winner$",
  awardsDesc20329= "<(c0xFFFFC000)合服宠物排行榜第三名>			<(c0xFFFFC000)获得者：> $winner$",  
  awardsDesc30329= "<(c0xFFFFC000)合服宠物排行榜第四名>			<(c0xFFFFC000)获得者：> $winner$", 
  awardsDesc40329= "<(c0xFFFFC000)合服宠物排行榜第五名>			<(c0xFFFFC000)获得者：> $winner$",
  awardsDesc50329= "<(c0xFFFFC000)合服宠物排行榜第六名>			<(c0xFFFFC000)获得者：> $winner$",
  awardsDesc60329= "<(c0xFFFFC000)合服宠物排行榜第七名>			<(c0xFFFFC000)获得者：> $winner$",
  awardsDesc70329= "<(c0xFFFFC000)合服宠物排行榜第八名>			<(c0xFFFFC000)获得者：> $winner$",  
  awardsDesc80329= "<(c0xFFFFC000)合服宠物排行榜第九名>			<(c0xFFFFC000)获得者：> $winner$", 
  awardsDesc90329= "<(c0xFFFFC000)合服宠物排行榜第十名>			<(c0xFFFFC000)获得者：> $winner$",

  name00330= "激情天元之战",
  desc00330= "合服后前两次天元之战获胜的帮派成员可以额外获得丰厚的奖励",  
  subName00330= "团结的力量",
  timeDesc00330= "合服当天 - 合服第十四天24:00",
  
  name00331= "谁是最强仙王",
  desc00331= "合服后前两次仙王争霸排名前四的仙友可以额外获得丰厚的奖励",  
  subName00331= "巅峰求败",
  timeDesc00331= "合服当天 - 合服第十四天24:00", 
   
  xs0002= "<font color='#fff000'><b>活动时间：</b></font>合服首日-合服第八天24:00<br><br><font color='#fff000'><b>活动说明：</b></font>在活动时间内,充值588元宝即可获得精美礼品一份" , 
 
--元宵活动
  name00332= "有礼",
  desc00332= "活动期间,每天登陆游戏即可获得元宵每日登陆礼包奖励。且累积登陆3天还可额外获得一份累积登陆礼包。",  
  subName00332= "登陆送大礼",
  awardsDesc00330= "<(c0xFFFFF000)每日登陆可领取>",
  awardsDesc00331= "<(c0xFFFFF000)累积登陆3天可领取         您已累积登陆$winner$天>",
 
  name00333= "元宵福神",
  desc00333= "每天<(c0xFFFFF000)10:00、14:00、18:00、22:00>福神携带重宝降临至天元城中的任意区域。活动期间,寻找到福神的仙友可免费向福神领取元宵福神花灯一盏。福神降临天元城一段时间后将重返仙宫,大家快一起去寻找福神,领取花灯吧。<(c0xFFFFF000)注：开启福神花灯后,可随机获得奖励预览界面的其中一个珍品道具。>",  
  subName00333= "福神赠花灯",
  awardsDesc00332= "<(c0xFFFFF000)元宵福神花灯     （开启礼包可获得下列珍品道具的其中一个）>",

--感恩活动
  name00400= "感恩有礼",
  desc00400= "活动期间,每天的<(c0xFFFFF000)19:30-20:30、20:30-21:30、21:30-22:30>内登陆或在线,即可免费领取相应时间段的感恩礼包。<(c0xFFFFF000)注：请及时领取各时间内的感恩礼包,若某一时间内的感恩礼包未领取,当该活动时间段结束后将无法领取相关的感恩礼包。>",  
  subName00400= "感恩送大礼",
  awardsDesc00400= "<(c0xFFFFF000)感恩初春礼包       19:30-20:30可领取>",
  awardsDesc10400= "<(c0xFFFFF000)感恩祝福礼包       20:30-21:30可领取>", 
  awardsDesc20400= "<(c0xFFFFF000)感恩斩仙礼包       21:30-22:30可领取>",
 
  name00401= "福神送礼",
  desc00401= "活动期间,每天的<(c0xFFFFF000)19:20、20:00、20:40、21:50>福神携带重宝降临至天元城中的任意区域。活动期间寻找到福神的仙友可免费向福神领取感恩礼包一份。福神降临天元城一段时间后将重返仙宫,大家快一起去寻找福神,领取礼包吧。<(c0xFFFFF000)注：开启感恩礼包后,可随机获得奖励预览界面的其中一个珍品道具。>",  
  subName00401= "福神送豪礼",
  awardsDesc00401= "<(c0xFFFFF000)感恩福神礼包     （开启礼包可获得下列珍品道具的其中一个）>",
 
  name00402= "感恩狂欢",
  desc00402= "在活动期间19:30-21:30内,众仙友参与蟠桃盛宴、仙灵封印、阵营试炼和打坐双修都会获得经验加成,活动时间错过就不会再来了,请各位玩家抓紧利用这段感恩时间哦！",  
  subName00402= "经验大放送",
  awardsDesc00402= "<font color='#FFFF00'><b>活动1:</b></font><font color='#33CC33'>蟠桃盛宴</font> 经验加成100%,活动期间19:00-21:30内有效<br><br><font color='#FFFF00'><b>活动2:</b></font><font color='#33CC33'>仙灵封印</font> 经验加成100%,活动期间19:00-21:30内有效<br><br><font color='#FFFF00'><b>活动3:</b></font><font color='#33CC33'>阵营试炼</font> 经验加成100%,活动期间19:00-21:30内有效<br><br><font color='#FFFF00'><b>活动4:</b></font><font color='#33CC33'>双修打坐</font> 经验加成100%,活动期间19:00-21:30内有效",

 --清明活动 
  name00403= "老友回家",
  desc00403= "活动期间,若您的最后登录游戏时间是在<(c0xFFFFF000)3月25日之前,且角色等级大于等于30级>的仙友,登陆游戏即可获得对应等级的回归礼包,奖励形式由邮件发送。角色达到相应等级，即可开启相应的等级回归礼包。",  
  subName00403= "回家赠礼包",
  awardsDesc00403= "<(c0xFFFFF000)30级回归礼包>",
  awardsDesc10403= "<(c0xFFFFF000)40级回归礼包>", 
  awardsDesc20403= "<(c0xFFFFF000)45级回归礼包>",
  awardsDesc30403= "<(c0xFFFFF000)50级回归礼包>", 
  awardsDesc40403= "<(c0xFFFFF000)60级回归礼包>",

  name00404= "放生祈福",
  desc00404= "活动期间,众仙友可在天元城<font color='#FFF000'>祈福使者</font>处,领取放生祈福的任务；依据任务指示完成相关任务后,即可获得任务奖励。每天可完成的任务次数有限。机会难得,让我们一起来祈福吧！\n\n<a href='m天元城:31:17'>祈福使者</a><IOBJ class='TeleportButton' href='f天元城:31:17'/>",  
  subName00404= "祈福奖励多",
  awardsDesc00404= "<(c0xFFFFF000)祈福礼包>",
  
  name00405= "清明登陆",
  desc00405= "活动期间,角色等级<font color='#FFF000'>大于等于31级</font>的仙友，每天登陆游戏即可获得清明每日登陆礼包奖励。且累计登陆<font color='#FFF000'>3天、5天</font>还可额外获得一份累积登陆礼包;<font color='#FFF000'>5天</font>累积礼包内,更有高贵<font color='#FFF000'>竹影飘羽</font>时装道具噢！",  
  subName00405= "登陆送豪礼",
  awardsDesc00405= "<(c0xFFFFF000)每日登陆可领取>",
  awardsDesc10405= "<(c0xFFFFF000)累积登陆3天可领取         您已累积登陆$winner$天>", 
  awardsDesc20405= "<(c0xFFFFF000)累积登陆5天可领取         您已累积登陆$winner$天>",
  awardsDesc30405= "活动期间，角色等级大于20级的仙友，在游戏大厅累计登陆1、3、5天的玩<BR><BR>家即可领取对应的活动礼包；活动礼包内更有<font color='#ff7800'>至尊生命药水、高级保护符</font>,<BR><BR>等你来拿哦！",

  
  name00406= "每日消费",
  desc00406= "活动期间,凡每日累计消费达到<font color='#FFF000'>98</font>元宝,就可领取一份清明消费礼包。开启礼包,可获得<font color='#FFF000'>招财神符、中级强化石、精装生命药水、中级法力包、中级宠物长生丹</font>稀有道具,并有概率额外获得<font color='#FFF000'>焚离珠</font>一个。注：团购不参与此活动消费统计。",  
  subName00406= "消费送好礼",
  awardsDesc00406= "<(c0xFFFFF000)清明消费礼包 （礼包内有几率获得如下珍品道具）>",

  name00407= "清明副本",
  desc00407= "活动期间，每日可通过天元城<font color='#FFF000'>清明祭官</font>处进入副本,每天可进入<font color='#FFF000'>2</font>次.副本中可掉落各类珍品游戏道具,还等什么？一起来冒险吧！\n\n<a href='m天元城:65:58'>清明祭官</a><IOBJ class='TeleportButton' href='f天元城:65:58'/>",  
